,idx,unc branch,always taken branch,always not taken branch,rand branch
0,0,2.477,2.477,2.473,2.459
1,1,2.479,2.477,2.46,2.47
2,2,2.459,2.46,2.479,2.462
3,3,2.458,2.477,2.468,2.43
4,4,2.46,2.461,2.478,2.4379999999999997
5,5,2.461,2.459,2.478,2.4509999999999996
6,6,2.477,2.461,2.478,2.434
7,7,2.459,2.459,2.475,2.4400000000000004
8,8,2.479,2.476,2.477,2.4269999999999996
9,9,2.46,2.476,2.458,2.4880000000000004
10,10,2.464,2.459,2.46,2.5540000000000003
11,11,2.478,2.456,2.458,2.7609999999999992
12,12,2.459,2.46,2.46,2.872
13,13,2.482,2.46,2.477,2.859
14,14,2.457,2.459,2.479,2.872
15,15,2.46,2.481,2.479,2.8979999999999997
16,16,2.478,2.459,2.482,2.8740000000000006
17,17,2.459,2.478,2.461,2.8819999999999997
18,18,2.477,2.477,2.459,2.84
19,19,2.478,2.478,2.46,2.9060000000000006
20,20,2.459,2.455,2.479,2.928000000000001
21,21,2.477,2.477,2.458,2.8130000000000006
22,22,2.459,2.475,2.459,2.891
23,23,2.458,2.477,2.46,2.8870000000000005
24,24,2.459,2.479,2.477,2.862
25,25,2.461,2.461,2.458,2.8119999999999994
26,26,2.477,2.477,2.458,2.8919999999999995
27,27,2.458,2.458,2.467,2.847999999999999
28,28,2.459,2.475,2.477,2.8389999999999986
29,29,2.459,2.482,2.461,2.844999999999999
30,30,2.459,2.459,2.475,2.850999999999999
31,31,2.461,2.46,2.472,2.7890000000000015
32,32,2.478,2.462,2.48,2.84
33,33,2.459,2.465,2.477,2.815999999999999
34,34,2.475,2.458,2.477,2.9080000000000013
35,35,2.477,2.479,2.461,2.8790000000000013
36,36,2.476,2.459,2.476,2.8279999999999994
37,37,2.477,2.479,2.476,2.878
38,38,2.479,2.457,2.477,2.8039999999999985
39,39,2.462,2.476,2.478,2.8820000000000014
40,40,2.461,2.458,2.48,2.8500000000000014
41,41,2.459,2.46,2.476,2.8000000000000007
42,42,2.459,2.462,2.477,2.814
43,43,2.462,2.459,2.478,2.8840000000000003
44,44,2.459,2.469,2.473,2.8599999999999994
45,45,2.471,2.476,2.46,2.8590000000000018
46,46,2.46,2.458,2.458,2.7459999999999987
47,47,2.459,2.461,2.476,2.844999999999999
48,48,2.477,2.477,2.473,2.7609999999999992
49,49,2.462,2.459,2.459,2.8150000000000013
50,50,2.461,2.481,2.46,2.809000000000001
51,51,2.477,2.474,2.459,2.8240000000000016
52,52,2.458,2.459,2.477,2.8049999999999997
53,53,2.459,2.479,2.458,2.6960000000000015
54,54,2.459,2.478,2.46,2.7779999999999987
55,55,2.46,2.477,2.479,2.693999999999999
56,56,2.48,2.478,2.476,2.7830000000000013
57,57,2.459,2.461,2.478,2.780999999999999
58,58,2.482,2.477,2.476,2.7270000000000003
59,59,2.477,2.476,2.46,2.8969999999999985
60,60,2.918,2.916,2.478,2.799999999999997
61,61,2.953,2.919,2.459,2.771000000000001
62,62,2.918,2.952,2.458,2.674999999999997
63,63,2.955,2.954,2.481,2.7860000000000014
64,64,2.917,2.954,2.474,2.7439999999999998
65,65,2.953,2.953,2.477,2.767000000000003
66,66,2.954,2.918,2.478,2.719999999999999
67,67,2.954,2.963,2.458,2.808
68,68,2.918,2.917,2.46,2.700000000000003
69,69,2.952,2.954,2.459,2.683
70,70,2.917,2.917,2.459,2.764000000000003
71,71,2.954,2.954,2.477,2.6739999999999995
72,72,2.92,2.952,2.46,2.7830000000000013
73,73,2.919,2.951,2.459,2.8430000000000035
74,74,2.954,2.922,2.46,2.6670000000000016
75,75,2.953,2.95,2.477,2.8590000000000018
76,76,2.92,2.951,2.476,2.875
77,77,2.954,2.954,2.461,2.713000000000001
78,78,2.953,2.949,2.459,2.8119999999999976
79,79,2.919,2.918,2.459,2.7749999999999986
80,80,2.951,2.949,2.477,2.7139999999999986
81,81,2.956,2.953,2.476,2.804000000000002
82,82,2.959,2.95,2.477,2.7849999999999966
83,83,2.953,2.959,2.475,2.735999999999997
84,84,2.958,2.956,2.48,2.7349999999999994
