,idx,unc branch,always taken branch,always not taken branch,rand branch
0,0,0.485,0.484,0.479,0.465
1,1,0.485,0.465,0.463,0.473
2,2,0.471,0.485,0.468,0.48
3,3,0.463,0.485,0.488,0.43999999999999995
4,4,0.465,0.474,0.463,0.43599999999999994
5,5,0.481,0.468,0.487,0.43599999999999994
6,6,0.467,0.469,0.467,0.45699999999999985
7,7,0.465,0.48,0.468,0.43900000000000006
8,8,0.465,0.482,0.483,0.44399999999999995
9,9,0.478,0.485,0.485,0.41000000000000014
10,10,0.485,0.485,0.47,0.5460000000000003
11,11,0.491,0.471,0.469,0.657
12,12,0.465,0.467,0.463,0.7930000000000001
13,13,0.491,0.486,0.486,0.7859999999999996
14,14,0.478,0.478,0.483,0.8780000000000001
15,15,0.469,0.481,0.462,0.9079999999999995
16,16,0.483,0.462,0.479,0.8659999999999997
17,17,0.468,0.485,0.48,0.859
18,18,0.468,0.467,0.481,0.8460000000000001
19,19,0.467,0.48,0.473,0.9049999999999994
20,20,0.465,0.479,0.465,0.8130000000000006
21,21,0.468,0.482,0.468,0.8499999999999996
22,22,0.485,0.466,0.472,0.8659999999999997
23,23,0.482,0.471,0.467,0.8490000000000002
24,24,0.478,0.485,0.483,0.8559999999999999
25,25,0.474,0.483,0.483,0.8350000000000009
26,26,0.469,0.481,0.467,0.8559999999999999
27,27,0.472,0.467,0.47,0.8510000000000009
28,28,0.497,0.489,0.483,0.8719999999999999
29,29,0.469,0.49,0.479,0.9130000000000003
30,30,0.486,0.487,0.464,0.827
31,31,0.471,0.483,0.484,0.8689999999999998
32,32,0.486,0.461,0.482,0.7989999999999995
33,33,0.48,0.486,0.487,0.8079999999999998
34,34,0.484,0.475,0.48,0.7959999999999994
35,35,0.465,0.485,0.463,0.8930000000000007
36,36,0.46,0.479,0.463,0.809000000000001
37,37,0.463,0.483,0.486,0.8290000000000006
38,38,0.461,0.465,0.471,0.7579999999999991
39,39,0.465,0.485,0.47,0.7830000000000013
40,40,0.486,0.466,0.477,0.8060000000000009
41,41,0.484,0.483,0.467,0.8270000000000017
42,42,0.481,0.47,0.483,0.843
43,43,0.483,0.49,0.467,0.8329999999999984
44,44,0.46,0.464,0.467,0.8580000000000005
45,45,0.467,0.484,0.484,0.809000000000001
46,46,0.484,0.481,0.476,0.8539999999999992
47,47,0.485,0.483,0.468,0.7349999999999994
48,48,0.486,0.484,0.465,0.8299999999999983
49,49,0.483,0.465,0.492,0.8760000000000012
50,50,0.466,0.468,0.481,0.7740000000000009
51,51,0.471,0.478,0.482,0.7190000000000012
52,52,0.481,0.471,0.466,0.7650000000000006
53,53,0.481,0.465,0.463,0.8120000000000012
54,54,0.469,0.467,0.47,0.7049999999999983
55,55,0.487,0.464,0.475,0.7620000000000005
56,56,0.461,0.465,0.465,0.7519999999999989
57,57,0.492,0.476,0.466,0.7139999999999986
58,58,0.47,0.465,0.483,0.7830000000000013
59,59,0.467,0.461,0.485,0.8369999999999997
60,60,0.465,0.481,0.465,0.6729999999999983
61,61,0.466,0.485,0.47,0.6849999999999987
62,62,0.471,0.463,0.468,0.7940000000000005
63,63,0.486,0.483,0.466,0.7610000000000028
64,64,0.479,0.486,0.463,0.7710000000000008
65,65,0.463,0.481,0.481,0.6760000000000019
66,66,0.469,0.465,0.486,0.7010000000000005
67,67,0.487,0.486,0.485,0.6460000000000008
68,68,0.473,0.483,0.468,0.7120000000000033
69,69,0.481,0.465,0.484,0.7490000000000023
70,70,0.469,0.485,0.477,0.7090000000000032
71,71,0.463,0.464,0.483,0.6259999999999977
72,72,0.482,0.468,0.463,0.6390000000000029
73,73,0.494,0.487,0.473,0.796999999999997
74,74,0.467,0.471,0.466,0.6820000000000022
75,75,0.469,0.467,0.465,0.7439999999999998
